Provider Name,County,State,Ownership Type,More than one infection-control deficiency
KIMBERLY HALL-SOUTH CENTER,Hartford,CT,For profit,YES
MANCHESTER MANOR,Hartford,CT,For profit,
MAPLE VIEW MANOR,Hartford,CT,For profit,
MCLEAN HEALTH CENTER,Hartford,CT,Non profit,
NEWINGTON RAPID RECOVERY REHAB CENTER,Hartford,CT,For profit,
PARKWAY PAVILION HEALTH AND REHABILITATION CENTER,Hartford,CT,For profit,
RIVERSIDE HEALTH & REHABILITAT,Hartford,CT,For profit,
SALMON BROOK REHAB AND NURSING,Hartford,CT,For profit,YES
SHERIDEN WOODS,Hartford,CT,For profit,
ST MARY HOME,Hartford,CT,Non profit,YES
"SUFFIELD HOUSE, THE",Hartford,CT,For profit,YES
"SUMMIT AT PLANTSVILLE, THE",Hartford,CT,For profit,
THE RESERVOIR,Hartford,CT,For profit,
TOUCHPOINTS AT BLOOMFIELD,Hartford,CT,For profit,
TOUCHPOINTS AT FARMINGTON,Hartford,CT,For profit,
TOUCHPOINTS AT MANCHESTER,Hartford,CT,For profit,
TRINITY HILL CARE CENTER,Hartford,CT,For profit,
WEST HARTFORD HEALTH & REHABILITATION CENTER,Hartford,CT,For profit,
WESTSIDE CARE CENTER,Hartford,CT,For profit,
"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",Hartford,CT,For profit,YES
LITCHFIELD WOODS HEALTH CARE C,Litchfield,CT,For profit,
REGALCARE AT TORRINGTON,Litchfield,CT,For profit,YES
SHARON HEALTH CARE CENTER,Litchfield,CT,For profit,
VALERIE MANOR,Litchfield,CT,For profit,
VILLAGE CREST CENTER FOR HEALTH & REHABILITATION,Litchfield,CT,For profit,
WOLCOTT HALL NURSING CTR,Litchfield,CT,For profit,
AARON MANOR NURSING & REHABILITATION,Middlesex,CT,For profit,
APPLE REHAB CROMWELL,Middlesex,CT,For profit,
MIDDLESEX HEALTH CARE CENTER,Middlesex,CT,For profit,
"PORTLAND CARE & REHAB CENTER,",Middlesex,CT,For profit,
WATER'S EDGE CENTER FOR HEALTH & REHAB,Middlesex,CT,For profit,
ABBOTT TERR HEALTH CTR,New Haven,CT,For profit,YES
APPLE REHAB LAUREL WOODS,New Haven,CT,For profit,
ARDEN HOUSE,New Haven,CT,For profit,YES
BRANFORD HILLS HEALTHCARE CTR,New Haven,CT,For profit,
CURTIS HOME ST ELIZABETH CENTER,New Haven,CT,For profit,
"ELIM PARK BAPTIST HOME, INC",New Haven,CT,Non profit,YES
GLENDALE CENTER,New Haven,CT,For profit,
GOLDEN HILL REHAB PAVILION,New Haven,CT,For profit,YES
GRIMES YNHCC,New Haven,CT,Non profit,
"GUILFORD HOUSE, THE",New Haven,CT,For profit,YES
HAMDEN REHABILITATION & HEALTH CARE CENTER,New Haven,CT,For profit,
LUTHERAN HOME OF SOUTHBURY INC,New Haven,CT,Non profit,
"MARY WADE HOME, INC",New Haven,CT,Non profit,
MILFORD HEALTH CARE CENTER INC,New Haven,CT,For profit,YES
MONTOWESE HEALTH & REHABILITATION CENTER,New Haven,CT,For profit,
QUINNIPIAC VALLEY CENTER,New Haven,CT,For profit,
REGALCARE AT NEW HAVEN,New Haven,CT,For profit,YES
REGALCARE AT WATERBURY,New Haven,CT,For profit,YES
REGALCARE AT WEST HAVEN,New Haven,CT,For profit,YES
SHADY KNOLL,New Haven,CT,For profit,
SKYVIEW REHAB AND NURSING,New Haven,CT,For profit,
WATERBURY GARDENS NURSING AND REHAB,New Haven,CT,For profit,YES
WEST RIVER REHAB CENTER,New Haven,CT,For profit,
WHISPERING PINES REHABILITATION AND NURSING CENTER,New Haven,CT,For profit,YES
WHITNEY REHABILITATION CARE CENTER,New Haven,CT,For profit,
WILLOWS REHABILITATION & NURSING CENTER,New Haven,CT,For profit,
BAYVIEW HEALTH CARE,New London,CT,For profit,
HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CEN,New London,CT,For profit,YES
NEW LONDON SUB-ACUTE AND NURSING,New London,CT,For profit,
EVERGREEN HEALTH CARE CENTER,Tolland,CT,For profit,
FOX HILL CENTER,Tolland,CT,For profit,
WESTMINSTER VILLAGE HEALTH,Kent,DE,Non profit,YES
BRANDYWINE NURSING & REHABILITATION CENTER,New Castle,DE,For profit,YES
CADIA REHABILITATION BROADMEADOW,New Castle,DE,For profit,
GOVERNOR BACON HEALTH CENTER,New Castle,DE,Government,
HILLSIDE CENTER,New Castle,DE,For profit,
JEANNE JUGAN RESIDENCE,New Castle,DE,Government,
NEW CASTLE HEALTH AND REHABILITATION CENTER,New Castle,DE,For profit,YES
PARKVIEW NURSING,New Castle,DE,Non profit,
ATLANTIC SHORES REHABILITATION & HEALTH CENTER,Sussex,DE,For profit,YES
HARBOR HEALTHCARE & REHAB CTR,Sussex,DE,Non profit,YES
MILFORD CENTER,Sussex,DE,For profit,YES
OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC,Alachua,FL,Non profit,YES
PARKLANDS CARE CENTER,Alachua,FL,For profit,YES
MACCLENNY NURSING AND REHAB CENTER,Baker,FL,For profit,YES
W FRANK WELLS NURSING HOME,Baker,FL,Non profit,YES
RIVERWOOD HEALTH & REHABILITATION CENTER,Bradford,FL,For profit,YES
WINDSOR HEALTH AND REHABILITATION CENTER,Bradford,FL,For profit,YES
LIFE CARE CENTER OF PALM BAY,Brevard,FL,For profit,YES
VIERA HEALTH AND REHABILITATION CENTER,Brevard,FL,For profit,YES
"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING",Broward,FL,Government,YES
BROWARD NURSING & REHABILITATION CENTER,Broward,FL,For profit,
"COURT AT PALM AIRE, THE",Broward,FL,For profit,YES
COVENANT VILLAGE CARE CENTER,Broward,FL,Non profit,YES
CROSS POINTE CARE CENTER,Broward,FL,For profit,YES
FT LAUDERDALE HEALTH & REHABILITATION CENTER,Broward,FL,For profit,YES
GOLFCREST HEALTHCARE CENTER,Broward,FL,For profit,YES
HILLCREST HEALTH CARE AND REHABILITATION CENTER,Broward,FL,For profit,YES
LIFE CARE CENTER OF INVERRARY,Broward,FL,For profit,
MANOR PINES CONVALESCENT CENTER,Broward,FL,For profit,YES
MEMORIAL MANOR,Broward,FL,Government,YES
NSPIRE HEALTHCARE PLANTATION,Broward,FL,For profit,YES
PALMS CARE CENTER,Broward,FL,For profit,YES
PARK SUMMIT AT CORAL SPRINGS,Broward,FL,For profit,YES
POMPANO HEALTH AND REHABILITATION CENTER,Broward,FL,Non profit,YES
ST JOHNS NURSING CENTER,Broward,FL,Non profit,YES
SUNRISE HEALTH & REHABILITATION CENTER,Broward,FL,For profit,YES
TAMARAC REHABILITATION AND HEALTH CENTER,Broward,FL,For profit,
DOUGLAS JACOBSON STATE VETERANS NURSING HOME,Charlotte,FL,Government,YES
HARBOUR HEALTH CENTER,Charlotte,FL,For profit,YES
PORT CHARLOTTE REHABILITATION CENTER,Charlotte,FL,For profit,
SIGNATURE HEALTHCARE OF PORT CHARLOTTE,Charlotte,FL,For profit,YES
GOVERNORS CREEK HEALTH AND REHABILITATION,Clay,FL,For profit,YES
HEARTLAND HEALTH CARE CENTER ORANGE PARK,Clay,FL,Non profit,
ISLE HEALTH & REHABILITATION CENTER,Clay,FL,For profit,
MANORCARE NURSING AND REHABILITATION CENTER,Collier,FL,Non profit,YES
DESOTO HEALTH AND REHAB,De Soto,FL,For profit,YES
"CATHEDRAL GERONTOLOGY CENTER, INC",Duval,FL,Non profit,
JACKSONVILLE NURSING AND REHAB CENTER,Duval,FL,For profit,
LANIER REHABILITATION CENTER,Duval,FL,For profit,YES
PALM GARDEN OF JACKSONVILLE,Duval,FL,For profit,YES
ARCADIA HEALTH & REHABILITATION CENTER,Escambia,FL,For profit,
OLIVE BRANCH HEALTH AND REHAB CENTER,Escambia,FL,For profit,
ROSEWOOD HEALTHCARE AND REHABILITATION CENTER,Escambia,FL,For profit,YES
SOUTHERN OAKS CARE CENTER,Escambia,FL,For profit,
SPECIALTY HEALTH AND REHABILITATION CENTER,Escambia,FL,For profit,
CLEWISTON NURSING & REHABILITATION,Hendry,FL,For profit,YES
OAKBROOK HEALTH AND REHABILITATION CENTER,Hendry,FL,For profit,
"PALMS OF SEBRING, THE",Highlands,FL,Non profit,
CROSS LANDINGS HEALTH AND REHABILITATION CENTER,Jefferson,FL,For profit,
ADVENTHEALTH CARE CENTER WATERMAN,Lake,FL,Non profit,
LAKE EUSTIS HEALTH AND REHABILITATION CENTER,Lake,FL,For profit,YES
HEALTHPARK CARE CENTER,Lee,FL,Government,
LEHIGH ACRES HEALTH AND REHABILITATION CENTER,Lee,FL,For profit,
LIFE CARE CENTER OF ESTERO,Lee,FL,For profit,YES
MANORCARE HEALTH SERVICES,Lee,FL,Non profit,YES
SHELL POINT NURSING PAVILION,Lee,FL,Non profit,
SIGNATURE HEALTHCARE AT COLLEGE PARK,Lee,FL,For profit,
WILLISTON CARE CENTER,Levy,FL,For profit,YES
LAKE PARK OF MADISON NURSING AND REHABILITATION CE,Madison,FL,For profit,
BAY VUE NURSING AND REHABILITATION CENTER,Manatee,FL,For profit,
BRADEN RIVER REHABILITATION CENTER LLC,Manatee,FL,For profit,
BRADENTON HEALTH CARE,Manatee,FL,For profit,
CASA MORA REHABILITATION AND EXTENDED CARE,Manatee,FL,Non profit,
MANATEE SPRINGS REHABILITATION AND NURSING CENTER,Manatee,FL,For profit,YES
RIVIERA PALMS REHABILITATION CENTER,Manatee,FL,For profit,YES
WESTMINSTER POINT PLEASANT,Manatee,FL,Non profit,YES
PALM GARDEN OF OCALA,Marion,FL,For profit,YES
"TERRACE AT HOBE SOUND, THE",Martin,FL,For profit,
CLARIDGE HOUSE NURSING & REHABILITATION CENTER,Miami-Dade,FL,For profit,
CORAL GABLES NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit,YES
CROSS GARDENS CARE CENTER,Miami-Dade,FL,For profit,
EAST RIDGE RETIREMENT VILLAGE INC,Miami-Dade,FL,Non profit,
"FLORIDEAN NURSING AND REHABILITATION CENTER, THE",Miami-Dade,FL,For profit,
FOUNTAIN MANOR HEALTH & REHABILITATION CENTER,Miami-Dade,FL,For profit,
FRANCO NURSING & REHABILITATION CENTER,Miami-Dade,FL,For profit,YES
GOLDEN GLADES NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit,
HIALEAH NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit,
JACKSON MEMORIAL LONG TERM CARE CENTER,Miami-Dade,FL,Government,YES
KRYSTAL BAY NURSING AND REHABILITATION,Miami-Dade,FL,For profit,
"MIAMI JEWISH HEALTH SYSTEMS, INC",Miami-Dade,FL,Non profit,YES
MIAMI SHORES NURSING AND REHAB CENTER,Miami-Dade,FL,Government,
NORTH DADE NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit,
NSPIRE HEALTHCARE MIAMI LAKES,Miami-Dade,FL,For profit,YES
PALM GARDEN OF AVENTURA,Miami-Dade,FL,For profit,YES
PALMETTO CARE CENTER,Miami-Dade,FL,For profit,
PINECREST REHABILITATION CENTER,Miami-Dade,FL,For profit,
PINES NURSING HOME,Miami-Dade,FL,For profit,YES
PONCE PLAZA NURSING & REHABILITATION CENTER,Miami-Dade,FL,Non profit,YES
REGENTS PARK AT AVENTURA,Miami-Dade,FL,For profit,YES
RIVERSIDE CARE CENTER,Miami-Dade,FL,For profit,YES
RIVIERA HEALTH RESORT,Miami-Dade,FL,For profit,
SIGNATURE HEALTHCARE CENTER OF WATERFORD,Miami-Dade,FL,For profit,YES
SINAI PLAZA NURSING & REHAB CENTER,Miami-Dade,FL,Non profit,
"ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC",Miami-Dade,FL,Non profit,YES
SUSANNA WESLEY HEALTH CENTER,Miami-Dade,FL,Non profit,YES
TREASURE ISLE CARE CENTER,Miami-Dade,FL,Non profit,
UNITY HEALTH AND REHABILITATION CENTER,Miami-Dade,FL,For profit,YES
UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER,Miami-Dade,FL,Non profit,YES
VI AT AVENTURA,Miami-Dade,FL,For profit,
VILLA MARIA NURSING CENTER,Miami-Dade,FL,Non profit,YES
WEST GABLES HEALTH CARE CENTER,Miami-Dade,FL,For profit,YES
LIFE CARE CENTER OF HILLIARD,Nassau,FL,For profit,
"FORT WALTON REHABILITATION CENTER, LLC",Okaloosa,FL,For profit,YES
"MANOR AT BLUE WATER BAY, THE",Okaloosa,FL,For profit,
ADVENTHEALTH CARE CENTER ORLANDO NORTH,Orange,FL,Non profit,YES
GUARDIAN CARE NURSING & REHABILITATION CENTER,Orange,FL,Non profit,
HUNTERS CREEK NURSING AND REHAB CENTER,Orange,FL,For profit,YES
ROSEWOOD HEALTH AND REHABILITATION CENTER,Orange,FL,For profit,
ABBEY DELRAY,Palm Beach,FL,Non profit,YES
ADDINGTON PLACE AT WELLINGTON GREEN,Palm Beach,FL,For profit,
"AVANTE AT LAKE WORTH, INC.",Palm Beach,FL,For profit,YES
BARRINGTON TERRACE OF BOYNTON BEACH,Palm Beach,FL,For profit,
BOULEVARD REHABILITATION CENTER,Palm Beach,FL,For profit,YES
BOYNTON BEACH REHABILITATION CENTER,Palm Beach,FL,For profit,
ENCORE AT BOCA RATON REHABILITATION AND NURSING CE,Palm Beach,FL,For profit,YES
GARDENS COURT,Palm Beach,FL,For profit,
HAMLIN PLACE OF BOYNTON BEACH,Palm Beach,FL,Non profit,YES
HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF,Palm Beach,FL,Non profit,
HEARTLAND HEALTH CARE CENTER BOYNTON BEACH,Palm Beach,FL,Non profit,
JOSEPH L MORSE HEALTH CENTER INC THE,Palm Beach,FL,Non profit,
MANORCARE HEALTH SERVICES,Palm Beach,FL,Non profit,
MANORCARE HEALTH SERVICES BOYNTON BEACH,Palm Beach,FL,Non profit,
MEDICANA NURSING AND REHAB CENTER,Palm Beach,FL,For profit,YES
NORTH LAKE CARE CENTER,Palm Beach,FL,For profit,YES
PALM GARDEN OF WEST PALM BEACH,Palm Beach,FL,For profit,YES
REGENTS PARK NURSING & REHABILITATION CENTER,Palm Beach,FL,For profit,YES
"REHABILITATION CENTER OF THE PALM BEACHES,THE",Palm Beach,FL,Non profit,YES
RENAISSANCE HEALTH AND REHABILITATION,Palm Beach,FL,For profit,YES
STRATFORD COURT OF BOCA RATON,Palm Beach,FL,For profit,YES
TERRACES OF LAKE WORTH CARE CENTER,Palm Beach,FL,For profit,
WOOD LAKE HEALTH AND REHABILITATION CENTER,Palm Beach,FL,For profit,YES
ROYAL OAK NURSING CENTER,Pasco,FL,Non profit,
BAY TREE CENTER,Pinellas,FL,For profit,YES
BELLEAIR HEALTH CARE CENTER,Pinellas,FL,For profit,YES
CONSULATE HEALTH CARE OF SAFETY HARBOR,Pinellas,FL,For profit,YES
CONSULATE HEALTH CARE OF ST PETERSBURG,Pinellas,FL,For profit,YES
HIGHLAND PINES REHABILITATION CENTER,Pinellas,FL,Non profit,
LAKESIDE OAKS CARE CENTER,Pinellas,FL,For profit,
MANORCARE HEALTH SERVICES DUNEDIN,Pinellas,FL,Non profit,YES
MORTON PLANT REHABILITATION CENTER,Pinellas,FL,Non profit,
PALM GARDEN OF CLEARWATER,Pinellas,FL,For profit,
PALM GARDEN OF LARGO,Pinellas,FL,For profit,YES
PINELLAS POINT NURSING AND REHAB CENTER,Pinellas,FL,For profit,
SEMINOLE PAVILION REHABILITATION & NURSING SERVICE,Pinellas,FL,For profit,YES
SOUTH HERITAGE HEALTH & REHABILITATION CENTER,Pinellas,FL,Non profit,
ST MARK VILLAGE,Pinellas,FL,Non profit,
STRATFORD COURT OF PALM HARBOR,Pinellas,FL,For profit,
TIERRA PINES CENTER,Pinellas,FL,For profit,
CONSULATE HEALTH CARE OF LAKELAND,Polk,FL,For profit,YES
HIGHLANDS LAKE CENTER,Polk,FL,For profit,
LAKELAND HILLS CENTER,Polk,FL,Non profit,
PALM GARDEN OF WINTER HAVEN,Polk,FL,For profit,YES
BAY BREEZE HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit,YES
BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER,Sarasota,FL,For profit,
CONSULATE HEALTH CARE OF SARASOTA,Sarasota,FL,For profit,YES
GLENRIDGE ON PALMER RANCH INC.,Sarasota,FL,Non profit,
MAGNOLIA HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit,YES
PINES OF SARASOTA,Sarasota,FL,Non profit,
SARASOTA POINT REHABILITATION CENTER,Sarasota,FL,For profit,YES
CONSULATE HEALTH CARE AT WEST ALTAMONTE,Seminole,FL,For profit,
EMERALD HEALTH CARE CENTER,St. Lucie,FL,For profit,YES
OSPREY POINT NURSING CENTER,Sumter,FL,For profit,YES
SUWANNEE HEALTH AND REHABILITATION CENTER,Suwannee,FL,For profit,YES
"AVANTE AT ORMOND BEACH, INC",Volusia,FL,For profit,YES
COQUINA CENTER,Volusia,FL,For profit,YES
DEBARY HEALTH AND REHABILITATION CENTER,Volusia,FL,For profit,YES
DELTONA HEALTH CARE,Volusia,FL,For profit,YES
MAJESTIC OAKS,Volusia,FL,Non profit,
APPLING NURSING AND REHABILITATION PAVILION,Appling,GA,Non profit,
BOSTICK NURSING CENTER,Baldwin,GA,For profit,
GREEN ACRES HEALTH AND REHABILITATION,Baldwin,GA,Non profit,
MAPLE RIDGE HEALTH CARE CENTER,Bartow,GA,For profit,
TOWNSEND PARK HEALTH AND REHABILITATION,Bartow,GA,Non profit,
ARCHWAY TRANSITIONAL CARE CENTER,Bibb,GA,Non profit,
MACON REHABILITATION AND HEALTHCARE,Bibb,GA,For profit,
PRUITTHEALTH - EASTSIDE,Bibb,GA,For profit,
PRUITTHEALTH - MACON,Bibb,GA,For profit,
BAYVIEW NURSING HOME,Brantley,GA,For profit,YES
"PRESBYTERIAN HOME, QUITMAN, IN",Brooks,GA,Non profit,
BRYAN COUNTY HLTH & REHAB CTR,Bryan,GA,For profit,
WESTWOOD HEALTHCARE AND REHABILITATION,Bulloch,GA,For profit,
WESTBURY MEDICAL CARE AND REHAB,Butts,GA,For profit,
CALHOUN NURSING HOME,Calhoun,GA,Government,
SENIOR CARE CENTER - ST MARYS,Camden,GA,Non profit,
ORCHARD HEALTH AND REHABILITATION,Candler,GA,Non profit,
PLEASANT VIEW NURSING CENTER,Candler,GA,For profit,
"CARROLLTON MANOR, INCORPORATED",Carroll,GA,For profit,
CARROLLTON NURSING & REHAB CTR,Carroll,GA,For profit,
PINE KNOLL NURSING & REHAB CTR,Carroll,GA,For profit,
FOLKSTON PARK CARE AND REHABILITATION CENTER,Charlton,GA,For profit,
PRUITTHEALTH - SAVANNAH,Chatham,GA,For profit,
SAVANNAH BEACH HEALTH AND REHAB,Chatham,GA,For profit,
SIGNATURE HEALTHCARE OF SAVANNAH,Chatham,GA,For profit,YES
WOODSTOCK NURSING & REHAB CTR,Cherokee,GA,For profit,
"OAKS - ATHENS SKILLED NURSING, THE",Clarke,GA,For profit,
PRUITTHEALTH - GRANDVIEW,Clarke,GA,For profit,
UNIVERSITY NURSING & REHAB CTR,Clarke,GA,For profit,
JONESBORO NURSING AND REHABILITATION CENTER,Clayton,GA,For profit,
LAKE CITY NURSING AND REHABILITATION CENTER LLC,Clayton,GA,For profit,
RIVERDALE CENTER FOR NURSING AND HEALING,Clayton,GA,For profit,
"A.G. RHODES HOME, INC - COBB",Cobb,GA,Non profit,
ANDERSON MILL HEALTH AND REHABILITATION CENTER,Cobb,GA,For profit,
AUTUMN BREEZE HEALTH AND REHAB,Cobb,GA,For profit,
DELMAR GARDENS OF SMYRNA,Cobb,GA,For profit,
MANOR CARE REHABILITATION CENTER - MARIETTA,Cobb,GA,Non profit,
POWDER SPRINGS TRANSITIONAL CARE AND REHAB,Cobb,GA,For profit,
PRESBYTERIAN VILLAGE,Cobb,GA,Non profit,
PRUITTHEALTH - MARIETTA,Cobb,GA,For profit,
ROSELANE HEALTH AND REHABILITATION CENTER,Cobb,GA,For profit,
ROSS MEMORIAL HEALTH CARE CTR,Cobb,GA,For profit,
ROSWELL NURSING & REHAB CENTER,Cobb,GA,For profit,
SIGNATURE HEALTHCARE AT TOWER ROAD,Cobb,GA,For profit,
SIGNATURE HEALTHCARE OF MARIETTA,Cobb,GA,For profit,
VISTA PARK HEALTH AND REHABILITATION,Coffee,GA,Non profit,
LAKE CROSSING HEALTH CENTER,Columbia,GA,For profit,
AVALON HEALTH AND REHABILITATION,Coweta,GA,For profit,
NEWNAN HEALTH AND REHABILITATION,Coweta,GA,Non profit,YES
CORDELE HEALTH AND REHABILITATION,Crisp,GA,Government,
CRISP REGIONAL NSG & REHAB CTR,Crisp,GA,Non profit,
A.G. RHODES HOME WESLEY WOODS,De Kalb,GA,Non profit,
BRIARWOOD HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit,
BUDD TERRACE AT WESLEY WOODS,De Kalb,GA,Non profit,
EAST LAKE ARBOR,De Kalb,GA,For profit,
FOUNTAINVIEW CTR FOR ALZHEIMER,De Kalb,GA,For profit,
GLENWOOD HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit,YES
GRACE HEALTHCARE OF TUCKER,De Kalb,GA,For profit,YES
LENBROOK,De Kalb,GA,Non profit,
MANOR CARE REHABILITATION CENTER - DECATUR,De Kalb,GA,Non profit,
MEADOWBROOK HEALTH AND REHAB,De Kalb,GA,For profit,YES
NORTH DECATUR HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit,
PRUITTHEALTH - BROOKHAVEN,De Kalb,GA,For profit,
PRUITTHEALTH - VIRGINIA PARK,De Kalb,GA,For profit,
ROSEMONT AT STONE MOUNTAIN,De Kalb,GA,For profit,
SANDY SPRINGS HEALTH AND REHABILITATION,De Kalb,GA,For profit,
BAINBRIDGE HEALTH AND REHAB,Decatur,GA,For profit,
EASTMAN HEALTHCARE & REHAB,Dodge,GA,For profit,YES
PIONEER HEALTH OF CENTRAL GEORGIA,Dooly,GA,For profit,
PRUITTHEALTH - PALMYRA,Dougherty,GA,For profit,
DOUGLASVILLE NURSING AND REHABILITATION CENTER,Douglas,GA,For profit,
EARLY MEMORIAL NURSING FACILITY,Early,GA,For profit,
EFFINGHAM CARE & REHABILITATION CENTER,Effingham,GA,Non profit,
PRUITTHEALTH - SWAINSBORO,Emanuel,GA,For profit,
CONDOR HEALTH LAFAYETTE,Fayette,GA,For profit,
SOUTHLAND HEALTH AND REHABILITATION,Fayette,GA,Non profit,YES
CHULIO HILLS HEALTH AND REHAB,Floyd,GA,For profit,
EVERGREEN HEALTH AND REHABILITATION CENTER,Floyd,GA,For profit,
ROME HEALTH AND REHABILITATION CENTER,Floyd,GA,For profit,
CUMMING NURSING CENTER,Forsyth,GA,For profit,
"A.G. RHODES HOME, INC, THE",Fulton,GA,Non profit,
CHRISTIAN CITY REHABILITATION CENTER,Fulton,GA,For profit,
CRESTVIEW HEALTH & REHAB CTR,Fulton,GA,Non profit,
"HEALTHCARE AT COLLEGE PARK, LLC",Fulton,GA,For profit,
LEGACY TRANSITIONAL CARE & REHABILITATION,Fulton,GA,For profit,
RELIABLE HEALTH & REHAB AT LAKEWOOD,Fulton,GA,For profit,
SADIE G. MAYS HEALTH & REHABILITATION CENTER,Fulton,GA,Non profit,
SIGNATURE HEALTHCARE OF BUCKHEAD,Fulton,GA,For profit,
WESTMINSTER COMMONS,Fulton,GA,For profit,
"WILLIAM BREMAN JEWISH HOME, THE",Fulton,GA,Non profit,
CALHOUN HEALTH CARE CENTER,Gordon,GA,For profit,
PINEWOOD NURSING CENTER,Grady,GA,For profit,
CAMBRIDGE POST ACUTE CARE CENTER,Gwinnett,GA,For profit,
DELMAR GARDENS OF GWINNETT,Gwinnett,GA,For profit,
LIFE CARE CENTER OF GWINNETT,Gwinnett,GA,For profit,
LIFE CARE CTR OF LAWRENCEVILLE,Gwinnett,GA,For profit,
PARKSIDE POST ACUTE AND REHABILITATION,Gwinnett,GA,For profit,
PEBBLEBROOK HEALTH CENTER AT PARK SPRINGS,Gwinnett,GA,For profit,YES
PRUITTHEALTH - LILBURN,Gwinnett,GA,For profit,
SALUDE - THE ART OF RECOVERY,Gwinnett,GA,For profit,
HABERSHAM HOME,Habersham,GA,Non profit,
NEW HORIZONS LIMESTONE,Hall,GA,Non profit,YES
"OAKS - LIMESTONE, THE",Hall,GA,For profit,
LAUREL PARK AT HENRY MED CTR,Henry,GA,For profit,
"WESTBURY MCDONOUGH, LLC",Henry,GA,For profit,
PRUITTHEALTH - OCILLA,Irwin,GA,For profit,YES
PRUITTHEALTH - BETHANY,Jenkins,GA,For profit,
SGMC LAKELAND VILLA,Lanier,GA,Government,
DUBLINAIR HEALTH & REHAB,Laurens,GA,For profit,
LEE COUNTY HEALTH AND REHABILITATION,Lee,GA,Non profit,
PRUITTHEALTH - CRESTWOOD,Lowndes,GA,For profit,
MIONA GERIATRIC & DEMENTIA CENTER,Macon,GA,For profit,
MONTEZUMA HEALTH CARE CENTER,Macon,GA,Non profit,
THOMSON HEALTH AND REHABILITATION,Mc Duffie,GA,For profit,
PRUITTHEALTH - GREENVILLE,Meriwether,GA,For profit,
MILLER NURSING HOME,Miller,GA,Government,
MITCHELL COUNTY NURSING HOMES,Mitchell,GA,Non profit,
MADISON HEALTH AND REHAB,Morgan,GA,For profit,
MAGNOLIA MANOR OF COLUMBUS NURSING CENTER - EAST,Muscogee,GA,Non profit,
MUSCOGEE MANOR & REHABILITATION CTR,Muscogee,GA,Government,
ORCHARD VIEW REHABILITATION & SKILLED NURSING CTR,Muscogee,GA,Government,YES
RIVER TOWNE CENTER,Muscogee,GA,For profit,
EATONTON HEALTH AND REHABILITATION,Putnam,GA,Non profit,
JOE-ANNE BURGIN NURSING HOME,Randolph,GA,Government,YES
KENTWOOD NURSING FACILITY,Richmond,GA,Non profit,
PRUITTHEALTH - AUGUSTA HILLS,Richmond,GA,For profit,
WINDERMERE HEALTH AND REHABILITATION CENTER,Richmond,GA,For profit,YES
SYL-VIEW HEALTH CARE CENTER,Screven,GA,For profit,
"BRIGHTMOOR HEALTH CARE, INC",Spalding,GA,For profit,
PRUITTHEALTH - TOCCOA,Stephens,GA,For profit,YES
LILLIAN G CARTER HEALTH AND REHABILITATION,Sumter,GA,Non profit,
MAGNOLIA MANOR METHODIST NSG C,Sumter,GA,Non profit,
DAWSON HEALTH AND REHABILITATION,Terrell,GA,Non profit,
CAMELLIA GARDENS OF LIFE CARE,Thomas,GA,For profit,
GLENN-MOR NURSING HOME,Thomas,GA,Non profit,
ROSE CITY HEALTH AND REHABILITATION CENTER,Thomas,GA,For profit,
"THOMASVILLE HEALTH & REHAB, LLC",Thomas,GA,For profit,
REHABILITATION CENTER OF SOUTH GEORGIA,Tift,GA,For profit,
LAGRANGE HEALTH AND REHAB,Troup,GA,For profit,YES
PRUITTHEALTH - ASHBURN,Turner,GA,For profit,
HARBORVIEW HEALTH SYSTEMS THOMASTON,Upson,GA,For profit,
PROVIDENCE HEALTHCARE,Upson,GA,For profit,YES
PARK PLACE NURSING FACILITY,Walton,GA,For profit,
"BAPTIST VILLAGE, INC.",Ware,GA,Non profit,
HARBORVIEW SATILLA,Ware,GA,For profit,
WARRENTON HEALTH AND REHAB,Warren,GA,For profit,
CROSSVIEW CARE CENTER,Wilcox,GA,For profit,
GLEN EAGLE HEALTHCARE AND REHAB,Wilcox,GA,For profit,
PRUITTHEALTH - SYLVESTER,Worth,GA,For profit,
HERITAGE SPECIALTY CARE,Linn,IA,Non profit,YES
LINN MANOR CARE CENTER,Linn,IA,Non profit,
LUTHERAN LIVING SENIOR CAMPUS,Muscatine,IA,Non profit,
WILTON RETIREMENT COMMUNITY,Muscatine,IA,Non profit,
BISHOP DRUMM RETIREMENT CENTER,Polk,IA,Non profit,
