Facilities with Publicly Reported Coronavirus Cases,,,
"Thousands of deaths from the coronavirus have been linked to nursing homes in recent weeks, but the federal government and many states have not identified the providers. Through media accounts and state health departments, The Post was able to identify more than 2,500 nursing homes that have had publicly reported cases of the virus among residents or staff as of Monday morning.

Note: With many states not releasing the names of facilities, the actual number of nursing homes impacted by the virus is likely far higher.                                ",,,
PEARL STREET HEALTH AND REHABILITATION CENTER,Arapahoe,CO,For profit
"SUITES AT SOMEREN GLEN CARE CENTER, THE",Arapahoe,CO,Non profit
BOULDER MANOR,Boulder,CO,For profit
FRASIER MEADOWS HEALTH CARE CENTER,Boulder,CO,Non profit
LIFE CARE CENTER OF LONGMONT,Boulder,CO,For profit
MESA VISTA OF BOULDER,Boulder,CO,For profit
PEAKS CARE CENTER THE,Boulder,CO,For profit
POWERBACK REHABILITATION LAFAYETTE,Boulder,CO,For profit
COLUMBINE MANOR CARE CENTER,Chaffee,CO,For profit
AMBERWOOD COURT REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit
BROOKSHIRE HOUSE REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit
DENVER NORTH CARE CENTER,Denver,CO,For profit
FOREST STREET COMPASSIONATE CARE CENTER,Denver,CO,For profit
HEALTH CENTER AT FRANKLIN PARK,Denver,CO,Non profit
HIGHLINE REHABILITATION AND CARE COMMUNITY,Denver,CO,For profit
JEWELL CARE CENTER OF DENVER,Denver,CO,For profit
MANORCARE HEALTH SERVICES-DENVER,Denver,CO,For profit
PARKVIEW CARE CENTER,Denver,CO,For profit
POWERBACK REHABILITATION LAKEWOOD,Denver,CO,For profit
"ROWAN COMMUNITY, INC",Denver,CO,For profit
SLOAN'S LAKE REHABILITATION CENTER,Denver,CO,For profit
ST PAUL HEALTH CENTER,Denver,CO,For profit
SUITES AT CLERMONT PARK CARE CENTER,Denver,CO,Non profit
CONTINUING CARE AT WIND CREST,Douglas,CO,Non profit
ASPEN LIVING CENTER,El Paso,CO,For profit
"LAUREL MANOR CARE CENTER, INC",El Paso,CO,Non profit
PIKES PEAK CENTER,El Paso,CO,For profit
TERRACE GARDENS HEALTH CARE CENTER,El Paso,CO,For profit
CANON LODGE CARE CENTER,Fremont,CO,For profit
GUNNISON VALLEY HEALTH SENIOR CARE CENTER,Gunnison,CO,Government
ACCEL AT GOLDEN RIDGE,Jefferson,CO,For profit
ALLISON CARE CENTER,Jefferson,CO,For profit
CAMBRIDGE CARE CENTER,Jefferson,CO,For profit
MAPLETON CARE CENTER,Jefferson,CO,For profit
MONTAGE RIDGE,Jefferson,CO,For profit
MOUNTAIN VISTA HEALTH CENTER,Jefferson,CO,Non profit
SIERRA REHABILITATION AND CARE COMMUNITY,Jefferson,CO,For profit
GRACE MANOR CARE CENTER,Kit Carson,CO,For profit
LEMAY AVENUE HEALTH AND REHABILITATION FACILITY,Larimer,CO,For profit
NORTH SHORE HEALTH & REHAB FACILITY,Larimer,CO,For profit
COLOROW HEALTH CARE LLC,Montrose,CO,For profit
SAN JUAN LIVING CENTER,Montrose,CO,For profit
EBEN EZER LUTHERAN CARE CENTER,Morgan,CO,Non profit
CASEY'S POND SENIOR LIVING LTC,Routt,CO,Non profit
CENTENNIAL HEALTH CARE CENTER,Weld,CO,For profit
"CENTER AT CENTERPLACE LLC, THE",Weld,CO,For profit
COLUMBINE COMMONS HEALTH AND REHAB LLC,Weld,CO,For profit
"FAIRACRES MANOR, INC.",Weld,CO,For profit
GOOD SAMARITAN SOCIETY - BONELL COMMUNITY,Weld,CO,Non profit
APPLE REHAB SHELTON LAKES,Fairfield,CT,For profit
AUTUMN LAKE HEALTHCARE AT NORWALK,Fairfield,CT,For profit
BETHEL HEALTH CARE CENTER,Fairfield,CT,For profit
BISHOP WICKE HEALTH & REHAB CT,Fairfield,CT,Non profit
CAMBRIDGE HEALTH AND REHABILITATION CENTER,Fairfield,CT,For profit
"CAROLTON CHRONIC & CONV HOSP,",Fairfield,CT,For profit
CASSENA CARE AT NORWALK,Fairfield,CT,For profit
CASSENA CARE AT STAMFORD,Fairfield,CT,For profit
EDGEHILL HEALTH CENTER,Fairfield,CT,For profit
"FILOSA, FOR NURSING & REHABILITATION",Fairfield,CT,For profit
"GARDNER HEIGHTS HEALTH CARE CENTER, INC",Fairfield,CT,For profit
GLEN HILL REHABILITATION & NURSING CENTER,Fairfield,CT,For profit
GREENWICH WOODS REHABILITATION,Fairfield,CT,For profit
"HEWITT HEALTH & REHABILITATION CENTER, INC",Fairfield,CT,For profit
JEWISH SENIOR SERVICES,Fairfield,CT,Non profit
LAUREL RIDGE HEALTH CARE CENTE,Fairfield,CT,For profit
LONG RIDGE POST-ACUTE CARE,Fairfield,CT,For profit
LORD CHAMBERLAIN NURSING & REHABILITATION CENTER,Fairfield,CT,For profit
"LUDLOWE CENTER FOR HEALTH & REHABILITATION, LLC",Fairfield,CT,For profit
MAEFAIR HEALTH CARE CENTER,Fairfield,CT,For profit
MEADOW RIDGE,Fairfield,CT,For profit
NORTHBRIDGE HEALTH CARE CENTER,Fairfield,CT,For profit
NOTRE DAME CONVALESCENT HOME I,Fairfield,CT,For profit
REGALCARE AT GREENWICH,Fairfield,CT,For profit
REGALCARE AT SOUTHPORT,Fairfield,CT,For profit
SAINT JOHN PAUL I I CENTER,Fairfield,CT,For profit
"SPRINGS AT WATERMARK 3030 PARK, THE",Fairfield,CT,For profit
ST CAMILLUS REHABILITATION & NURSING CENTER,Fairfield,CT,For profit
ST JOSEPH'S CENTER,Fairfield,CT,For profit
"VILLA AT STAMFORD, THE",Fairfield,CT,For profit
WAVENY CARE CENTER,Fairfield,CT,Non profit
WESTERN REHABILITATION CARE CENTER,Fairfield,CT,For profit
WILTON MEADOWS HEALTH CARE CEN,Fairfield,CT,For profit
"WITHERELL, NATHANIEL",Fairfield,CT,Government
60 WEST,Hartford,CT,For profit
APPLE REHAB AVON,Hartford,CT,For profit
APPLE REHAB FARMINGTON VALLEY,Hartford,CT,For profit
APPLE REHAB ROCKY HILL,Hartford,CT,For profit
AVERY NURSING HOME,Hartford,CT,Non profit
BEL AIR MANOR,Hartford,CT,For profit
BLOOMFIELD HEALTH CARE CENTER,Hartford,CT,For profit
CALEB HITCHCOCK HEALTH CARE CE,Hartford,CT,Non profit
CASSENA CARE AT NEW BRITAIN,Hartford,CT,For profit
CHELSEA PLACE CARE CENTER,Hartford,CT,For profit
CHERRY BROOK HEALTH CARE CENTE,Hartford,CT,Non profit
COUNTRYSIDE MANOR OF BRISTOL,Hartford,CT,For profit
CRESTFIELD REHABILITATION CENTER & FENWOOD MANOR,Hartford,CT,For profit
FRESH RIVER HEALTHCARE,Hartford,CT,For profit
GLASTONBURY HEALTH CARE CENTER,Hartford,CT,For profit
GRANDVIEW REHABILITATION AND HEALTHCARE CENTER,Hartford,CT,For profit
HEBREW CENTER FOR HEALTH AND REHABILITATION,Hartford,CT,For profit
HUGHES HEALTH AND REHABILITATION,Hartford,CT,For profit
KIMBERLY HALL NORTH,Hartford,CT,For profit
KIMBERLY HALL-SOUTH CENTER,Hartford,CT,For profit
LEDGECREST HEALTH CARE,Hartford,CT,For profit
MANCHESTER MANOR,Hartford,CT,For profit
MAPLE VIEW MANOR,Hartford,CT,For profit
MCLEAN HEALTH CENTER,Hartford,CT,Non profit
NEWINGTON RAPID RECOVERY REHAB CENTER,Hartford,CT,For profit
PARKWAY PAVILION HEALTH AND REHABILITATION CENTER,Hartford,CT,For profit
RIVERSIDE HEALTH & REHABILITAT,Hartford,CT,For profit
SALMON BROOK REHAB AND NURSING,Hartford,CT,For profit
SEABURY RETIREMENT COMMUNITY,Hartford,CT,Non profit
SHERIDEN WOODS,Hartford,CT,For profit
ST MARY HOME,Hartford,CT,Non profit
"SUFFIELD HOUSE, THE",Hartford,CT,For profit
"SUMMIT AT PLANTSVILLE, THE",Hartford,CT,For profit
THE RESERVOIR,Hartford,CT,For profit
TOUCHPOINTS AT BLOOMFIELD,Hartford,CT,For profit
TOUCHPOINTS AT FARMINGTON,Hartford,CT,For profit
TOUCHPOINTS AT MANCHESTER,Hartford,CT,For profit
TRINITY HILL CARE CENTER,Hartford,CT,For profit
WEST HARTFORD HEALTH & REHABILITATION CENTER,Hartford,CT,For profit
WESTSIDE CARE CENTER,Hartford,CT,For profit
"WINDSOR HEALTH AND REHABILITATION CENTER, LLC",Hartford,CT,For profit
APPLE REHAB WATERTOWN,Litchfield,CT,For profit
CANDLEWOOD VALLEY HEALTH & REHABILITATION CENTER,Litchfield,CT,For profit
LITCHFIELD WOODS HEALTH CARE C,Litchfield,CT,For profit
REGALCARE AT TORRINGTON,Litchfield,CT,For profit
SHARON HEALTH CARE CENTER,Litchfield,CT,For profit
VALERIE MANOR,Litchfield,CT,For profit
VILLAGE CREST CENTER FOR HEALTH & REHABILITATION,Litchfield,CT,For profit
WOLCOTT HALL NURSING CTR,Litchfield,CT,For profit
AARON MANOR NURSING & REHABILITATION,Middlesex,CT,For profit
APPLE REHAB CROMWELL,Middlesex,CT,For profit
APPLE REHAB MIDDLETOWN,Middlesex,CT,For profit
MIDDLESEX HEALTH CARE CENTER,Middlesex,CT,For profit
"PORTLAND CARE & REHAB CENTER,",Middlesex,CT,For profit
WATER'S EDGE CENTER FOR HEALTH & REHAB,Middlesex,CT,For profit
ABBOTT TERR HEALTH CTR,New Haven,CT,For profit
APPLE REHAB COCCOMO,New Haven,CT,For profit
APPLE REHAB GUILFORD,New Haven,CT,For profit
APPLE REHAB LAUREL WOODS,New Haven,CT,For profit
APPLE REHAB WEST HAVEN,New Haven,CT,For profit
ARDEN HOUSE,New Haven,CT,For profit
AUTUMN LAKE HEALTHCARE AT BUCKS HILL,New Haven,CT,For profit
BEACON BROOK HEALTH CENTER,New Haven,CT,For profit
BRANFORD HILLS HEALTHCARE CTR,New Haven,CT,For profit
CURTIS HOME ST ELIZABETH CENTER,New Haven,CT,For profit
"ELIM PARK BAPTIST HOME, INC",New Haven,CT,Non profit
GLENDALE CENTER,New Haven,CT,For profit
GOLDEN HILL REHAB PAVILION,New Haven,CT,For profit
GRIMES YNHCC,New Haven,CT,Non profit
"GROVE MANOR NURSING HOME, INC",New Haven,CT,For profit
"GUILFORD HOUSE, THE",New Haven,CT,For profit
HAMDEN REHABILITATION & HEALTH CARE CENTER,New Haven,CT,For profit
LUTHERAN HOME OF SOUTHBURY INC,New Haven,CT,Non profit
MADISON HOUSE,New Haven,CT,For profit
"MARY WADE HOME, INC",New Haven,CT,Non profit
MILFORD HEALTH CARE CENTER INC,New Haven,CT,For profit
MONTOWESE HEALTH & REHABILITATION CENTER,New Haven,CT,For profit
ORANGE HEALTH CARE CENTER,New Haven,CT,For profit
QUINNIPIAC VALLEY CENTER,New Haven,CT,For profit
REGALCARE AT NEW HAVEN,New Haven,CT,For profit
REGALCARE AT WATERBURY,New Haven,CT,For profit
REGALCARE AT WEST HAVEN,New Haven,CT,For profit
REGENCY HOUSE NURSING AND REHABILITATION CENTER,New Haven,CT,For profit
SHADY KNOLL,New Haven,CT,For profit
SILVER SPRINGS CARE CENTER,New Haven,CT,For profit
SKYVIEW REHAB AND NURSING,New Haven,CT,For profit
WATERBURY GARDENS NURSING AND REHAB,New Haven,CT,For profit
WEST RIVER REHAB CENTER,New Haven,CT,For profit
WHISPERING PINES REHABILITATION AND NURSING CENTER,New Haven,CT,For profit
WHITNEY REHABILITATION CARE CENTER,New Haven,CT,For profit
WILLOWS REHABILITATION & NURSING CENTER,New Haven,CT,For profit
BAYVIEW HEALTH CARE,New London,CT,For profit
BRIDE BROOK HEALTH & REHABILITATION CENTER,New London,CT,For profit
HARBOR VILLAGE NORTH HEALTH AND REHABILITATION CEN,New London,CT,For profit
"MYSTIC HEALTHCARE & REHABILITATION CENTER, LLC",New London,CT,For profit
NEW LONDON SUB-ACUTE AND NURSING,New London,CT,For profit
EVERGREEN HEALTH CARE CENTER,Tolland,CT,For profit
FOX HILL CENTER,Tolland,CT,For profit
CARROLL MANOR NURSING & REHAB,The District,DC,Non profit
DEANWOOD REHABILITATION AND WELLNESS CENTER,The District,DC,For profit
FOREST HILLS OF DC,The District,DC,Non profit
HEALTH & REHABILITATION  CENTER AT THOMAS CIRCLE,The District,DC,For profit
INGLESIDE AT ROCK CREEK,The District,DC,Non profit
INSPIRE REHABILITATION AND HEALTH CENTER LLC,The District,DC,For profit
JEANNE JUGAN RESIDENCE,The District,DC,Non profit
KNOLLWOOD HSC,The District,DC,Non profit
LISNER LOUISE DICKSON HURTHOME,The District,DC,Non profit
SERENITY REHABILITATION AND HEALTH CENTER LLC,The District,DC,For profit
TRANSITIONS HEALTHCARE CAPITOL CITY,The District,DC,For profit
UNIQUE REHABILITATION AND HEALTH CENTER LLC,The District,DC,For profit
UNITED MEDICAL NURSING HOME,The District,DC,Non profit
WASHINGTON CTR FOR AGING SVCS,The District,DC,Non profit
DELAWARE HOSPITAL F/T CHRONICALLY ILL (DHCI),Kent,DE,Government
WESTMINSTER VILLAGE HEALTH,Kent,DE,Non profit
BRANDYWINE NURSING & REHABILITATION CENTER,New Castle,DE,For profit
CADIA REHABILITATION BROADMEADOW,New Castle,DE,For profit
GOVERNOR BACON HEALTH CENTER,New Castle,DE,Government
HILLSIDE CENTER,New Castle,DE,For profit
JEANNE JUGAN RESIDENCE,New Castle,DE,Government
NEW CASTLE HEALTH AND REHABILITATION CENTER,New Castle,DE,For profit
PARKVIEW NURSING,New Castle,DE,Non profit
ATLANTIC SHORES REHABILITATION & HEALTH CENTER,Sussex,DE,For profit
HARBOR HEALTHCARE & REHAB CTR,Sussex,DE,Non profit
MILFORD CENTER,Sussex,DE,For profit
BUFFALO CROSSING HEALTHCARE AND REHABILITATION CEN,Alachua,FL,For profit
OAK HAMMOCK AT THE UNIVERSITY OF FLORIDA INC,Alachua,FL,Non profit
PARKLANDS CARE CENTER,Alachua,FL,For profit
SIGNATURE HEALTHCARE OF GAINESVILLE,Alachua,FL,For profit
MACCLENNY NURSING AND REHAB CENTER,Baker,FL,For profit
W FRANK WELLS NURSING HOME,Baker,FL,Non profit
CLIFFORD CHESTER SIMS STATE VETERANS NURSING HOME,Bay,FL,Government
RIVERWOOD HEALTH & REHABILITATION CENTER,Bradford,FL,For profit
WINDSOR HEALTH AND REHABILITATION CENTER,Bradford,FL,For profit
LIFE CARE CENTER OF PALM BAY,Brevard,FL,For profit
VIERA HEALTH AND REHABILITATION CENTER,Brevard,FL,For profit
"ALEXANDER ""SANDY"" NININGER STATE VETERANS NURSING",Broward,FL,Government
BROWARD NURSING & REHABILITATION CENTER,Broward,FL,For profit
"COURT AT PALM AIRE, THE",Broward,FL,For profit
COVENANT VILLAGE CARE CENTER,Broward,FL,Non profit
CROSS POINTE CARE CENTER,Broward,FL,For profit
FT LAUDERDALE HEALTH & REHABILITATION CENTER,Broward,FL,For profit
GLADES WEST REHABILITATION AND NURSING C,Broward,FL,For profit
GOLFCREST HEALTHCARE CENTER,Broward,FL,For profit
HILLCREST HEALTH CARE AND REHABILITATION CENTER,Broward,FL,For profit
LIFE CARE CENTER OF INVERRARY,Broward,FL,For profit
MANOR PINES CONVALESCENT CENTER,Broward,FL,For profit
MARGATE HEALTH AND REHABILITATION CENTER,Broward,FL,For profit
MEMORIAL MANOR,Broward,FL,Government
NSPIRE HEALTHCARE LAUDERHILL,Broward,FL,For profit
NSPIRE HEALTHCARE PLANTATION,Broward,FL,For profit
NSPIRE HEALTHCARE TAMARAC,Broward,FL,For profit
PALMS CARE CENTER,Broward,FL,For profit
PARK SUMMIT AT CORAL SPRINGS,Broward,FL,For profit
POMPANO HEALTH AND REHABILITATION CENTER,Broward,FL,Non profit
SOLARIS HEALTHCARE COCONUT CREEK,Broward,FL,Non profit
SPRINGTREE REHABILITATION & HEALTH CARE CENTER,Broward,FL,For profit
ST JOHNS NURSING CENTER,Broward,FL,Non profit
SUNRISE HEALTH & REHABILITATION CENTER,Broward,FL,For profit
TAMARAC REHABILITATION AND HEALTH CENTER,Broward,FL,For profit
DOUGLAS JACOBSON STATE VETERANS NURSING HOME,Charlotte,FL,Government
HARBOUR HEALTH CENTER,Charlotte,FL,For profit
LIFE CARE CENTER OF PUNTA GORDA,Charlotte,FL,For profit
PORT CHARLOTTE REHABILITATION CENTER,Charlotte,FL,For profit
SIGNATURE HEALTHCARE OF PORT CHARLOTTE,Charlotte,FL,For profit
GOVERNORS CREEK HEALTH AND REHABILITATION,Clay,FL,For profit
HEARTLAND HEALTH CARE CENTER ORANGE PARK,Clay,FL,Non profit
ISLE HEALTH & REHABILITATION CENTER,Clay,FL,For profit
LIFE CARE CENTER AT WELLS CROSSING,Clay,FL,For profit
MANORCARE NURSING AND REHABILITATION CENTER,Collier,FL,Non profit
DESOTO HEALTH AND REHAB,De Soto,FL,For profit
"CATHEDRAL GERONTOLOGY CENTER, INC",Duval,FL,Non profit
HARTS HARBOR HEALTH CARE CENTER,Duval,FL,For profit
JACKSONVILLE NURSING AND REHAB CENTER,Duval,FL,For profit
LANIER REHABILITATION CENTER,Duval,FL,For profit
PALM GARDEN OF JACKSONVILLE,Duval,FL,For profit
TAYLOR CARE CENTER,Duval,FL,Non profit
ARCADIA HEALTH & REHABILITATION CENTER,Escambia,FL,For profit
BAYSIDE HEALTH AND REHABILITATION CENTER,Escambia,FL,For profit
OLIVE BRANCH HEALTH AND REHAB CENTER,Escambia,FL,For profit
REHABILITATION CENTER AT PARK PLACE,Escambia,FL,For profit
ROSEWOOD HEALTHCARE AND REHABILITATION CENTER,Escambia,FL,For profit
SOUTHERN OAKS CARE CENTER,Escambia,FL,For profit
SPECIALTY HEALTH AND REHABILITATION CENTER,Escambia,FL,For profit
CLEWISTON NURSING & REHABILITATION,Hendry,FL,For profit
OAKBROOK HEALTH AND REHABILITATION CENTER,Hendry,FL,For profit
"PALMS OF SEBRING, THE",Highlands,FL,Non profit
BRISTOL AT TAMPA REHAB AND NURSING CENTER LLC,Hillsborough,FL,For profit
PLAZA WEST,Hillsborough,FL,For profit
BONIFAY NURSING AND REHAB CENTER,Holmes,FL,For profit
PALM GARDEN OF VERO BEACH,Indian River,FL,For profit
CROSS LANDINGS HEALTH AND REHABILITATION CENTER,Jefferson,FL,For profit
ADVENTHEALTH CARE CENTER WATERMAN,Lake,FL,Non profit
LAKE EUSTIS HEALTH AND REHABILITATION CENTER,Lake,FL,For profit
CONSULATE HEALTH CARE OF NORTH FORT MYERS,Lee,FL,For profit
FORT MYERS REHABILITATION AND NURSING CENTER,Lee,FL,For profit
HEALTHPARK CARE CENTER,Lee,FL,Government
HEARTLAND HEALTH CARE CENTER FORT MYERS,Lee,FL,Non profit
LEHIGH ACRES HEALTH AND REHABILITATION CENTER,Lee,FL,For profit
LIFE CARE CENTER OF ESTERO,Lee,FL,For profit
MANORCARE HEALTH SERVICES,Lee,FL,Non profit
REHAB & HEALTHCARE CENTER OF CAPE CORAL,Lee,FL,Non profit
SHELL POINT NURSING PAVILION,Lee,FL,Non profit
SIGNATURE HEALTHCARE AT COLLEGE PARK,Lee,FL,For profit
WINKLER COURT,Lee,FL,Non profit
WILLISTON CARE CENTER,Levy,FL,For profit
LAKE PARK OF MADISON NURSING AND REHABILITATION CE,Madison,FL,For profit
BAY VUE NURSING AND REHABILITATION CENTER,Manatee,FL,For profit
BRADEN RIVER REHABILITATION CENTER LLC,Manatee,FL,For profit
BRADENTON HEALTH CARE,Manatee,FL,For profit
CASA MORA REHABILITATION AND EXTENDED CARE,Manatee,FL,Non profit
MANATEE SPRINGS REHABILITATION AND NURSING CENTER,Manatee,FL,For profit
RIVIERA PALMS REHABILITATION CENTER,Manatee,FL,For profit
WESTMINSTER POINT PLEASANT,Manatee,FL,Non profit
PALM GARDEN OF OCALA,Marion,FL,For profit
SALERNO BAY HEALTH AND REHABILITATION CENTER,Martin,FL,For profit
"TERRACE AT HOBE SOUND, THE",Martin,FL,For profit
AVENTURA REHAB AND NURSING CENTER,Miami-Dade,FL,For profit
CLARIDGE HOUSE NURSING & REHABILITATION CENTER,Miami-Dade,FL,For profit
CORAL GABLES NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
CROSS GARDENS CARE CENTER,Miami-Dade,FL,For profit
EAST RIDGE RETIREMENT VILLAGE INC,Miami-Dade,FL,Non profit
"FLORIDEAN NURSING AND REHABILITATION CENTER, THE",Miami-Dade,FL,For profit
FOUNTAIN MANOR HEALTH & REHABILITATION CENTER,Miami-Dade,FL,For profit
FRANCO NURSING & REHABILITATION CENTER,Miami-Dade,FL,For profit
GOLDEN GLADES NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
HARMONY HEALTH CENTER,Miami-Dade,FL,For profit
HIALEAH NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
JACKSON MEMORIAL LONG TERM CARE CENTER,Miami-Dade,FL,Government
JACKSON PLAZA NURSING AND REHABILITATION CENTER,Miami-Dade,FL,Non profit
KRYSTAL BAY NURSING AND REHABILITATION,Miami-Dade,FL,For profit
"MIAMI JEWISH HEALTH SYSTEMS, INC",Miami-Dade,FL,Non profit
MIAMI SHORES NURSING AND REHAB CENTER,Miami-Dade,FL,Government
NORTH BEACH REHABILITATION CENTER,Miami-Dade,FL,For profit
NORTH DADE NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
NSPIRE HEALTHCARE MIAMI LAKES,Miami-Dade,FL,For profit
PALACE AT KENDALL NURSING AND REHABILITATION CENTE,Miami-Dade,FL,For profit
PALM GARDEN OF AVENTURA,Miami-Dade,FL,For profit
PALMETTO CARE CENTER,Miami-Dade,FL,For profit
PALMETTO SUBACUTE CARE CENTER,Miami-Dade,FL,For profit
PINECREST REHABILITATION CENTER,Miami-Dade,FL,For profit
PINES NURSING HOME,Miami-Dade,FL,For profit
PONCE PLAZA NURSING & REHABILITATION CENTER,Miami-Dade,FL,Non profit
REGENTS PARK AT AVENTURA,Miami-Dade,FL,For profit
RIVERSIDE CARE CENTER,Miami-Dade,FL,For profit
RIVIERA HEALTH RESORT,Miami-Dade,FL,For profit
"SANDS AT SOUTH BEACH CARE CENTER, THE",Miami-Dade,FL,For profit
SIGNATURE HEALTHCARE CENTER OF WATERFORD,Miami-Dade,FL,For profit
SINAI PLAZA NURSING & REHAB CENTER,Miami-Dade,FL,Non profit
SOUTH DADE NURSING AND REHABILITATION CENTER,Miami-Dade,FL,For profit
"ST ANNES NURSING CENTER, ST ANNES RESIDENCE INC",Miami-Dade,FL,Non profit
SUSANNA WESLEY HEALTH CENTER,Miami-Dade,FL,Non profit
TREASURE ISLE CARE CENTER,Miami-Dade,FL,Non profit
UNITY HEALTH AND REHABILITATION CENTER,Miami-Dade,FL,For profit
UNIVERSITY PLAZA REHABILITATION AND NURSING CENTER,Miami-Dade,FL,Non profit
VI AT AVENTURA,Miami-Dade,FL,For profit
VILLA MARIA NURSING CENTER,Miami-Dade,FL,Non profit
WEST GABLES HEALTH CARE CENTER,Miami-Dade,FL,For profit
LIFE CARE CENTER OF HILLIARD,Nassau,FL,For profit
"FORT WALTON REHABILITATION CENTER, LLC",Okaloosa,FL,For profit
"MANOR AT BLUE WATER BAY, THE",Okaloosa,FL,For profit
OKEECHOBEE HEALTH CARE FACILITY,Okeechobee,FL,For profit
ADVENTHEALTH CARE CENTER ORLANDO NORTH,Orange,FL,Non profit
COMMONS AT ORLANDO LUTHERAN TOWERS,Orange,FL,Non profit
GUARDIAN CARE NURSING & REHABILITATION CENTER,Orange,FL,Non profit
HUNTERS CREEK NURSING AND REHAB CENTER,Orange,FL,For profit
PALM GARDEN OF ORLANDO,Orange,FL,For profit
ROSEWOOD HEALTH AND REHABILITATION CENTER,Orange,FL,For profit
"TERRACE OF KISSIMMEE, THE",Osceola,FL,For profit
"TERRACE OF ST CLOUD, THE",Osceola,FL,For profit
ABBEY DELRAY,Palm Beach,FL,Non profit
ADDINGTON PLACE AT WELLINGTON GREEN,Palm Beach,FL,For profit
"AVANTE AT LAKE WORTH, INC.",Palm Beach,FL,For profit
BARRINGTON TERRACE OF BOYNTON BEACH,Palm Beach,FL,For profit
BOULEVARD REHABILITATION CENTER,Palm Beach,FL,For profit
BOYNTON BEACH REHABILITATION CENTER,Palm Beach,FL,For profit
ENCORE AT BOCA RATON REHABILITATION AND NURSING CE,Palm Beach,FL,For profit
GARDENS COURT,Palm Beach,FL,For profit
HAMLIN PLACE OF BOYNTON BEACH,Palm Beach,FL,Non profit
HARBOURS EDGE,Palm Beach,FL,Non profit
HEARTLAND HEALTH CARE AND REHABILITATION CENTER OF,Palm Beach,FL,Non profit
HEARTLAND HEALTH CARE CENTER BOYNTON BEACH,Palm Beach,FL,Non profit
HEARTLAND HEALTH CARE CENTER PROSPERITY OAKS,Palm Beach,FL,Non profit
JOSEPH L MORSE HEALTH CENTER INC THE,Palm Beach,FL,Non profit
LAKE VIEW CARE CENTER AT DELRAY,Palm Beach,FL,For profit
MANORCARE HEALTH SERVICES,Palm Beach,FL,Non profit
MANORCARE HEALTH SERVICES BOYNTON BEACH,Palm Beach,FL,Non profit
MANORCARE HEALTH SERVICES WEST PALM BEACH,Palm Beach,FL,For profit
MEDICANA NURSING AND REHAB CENTER,Palm Beach,FL,For profit
NORTH LAKE CARE CENTER,Palm Beach,FL,For profit
PALM GARDEN OF WEST PALM BEACH,Palm Beach,FL,For profit
REGENTS PARK NURSING & REHABILITATION CENTER,Palm Beach,FL,For profit
"REHABILITATION CENTER OF THE PALM BEACHES,THE",Palm Beach,FL,Non profit
RENAISSANCE HEALTH AND REHABILITATION,Palm Beach,FL,For profit
STRATFORD COURT OF BOCA RATON,Palm Beach,FL,For profit
TERRACES OF LAKE WORTH CARE CENTER,Palm Beach,FL,For profit
VI AT LAKESIDE VILLAGE,Palm Beach,FL,For profit
WILLOWBROOKE COURT AT ST ANDREWS,Palm Beach,FL,Non profit
WOOD LAKE HEALTH AND REHABILITATION CENTER,Palm Beach,FL,For profit
ROYAL OAK NURSING CENTER,Pasco,FL,Non profit
BAY TREE CENTER,Pinellas,FL,For profit
BELLEAIR HEALTH CARE CENTER,Pinellas,FL,For profit
CONSULATE HEALTH CARE OF SAFETY HARBOR,Pinellas,FL,For profit
CONSULATE HEALTH CARE OF ST PETERSBURG,Pinellas,FL,For profit
FREEDOM SQUARE REHABILITATION & NURSING SERVICES,Pinellas,FL,For profit
HIGHLAND PINES REHABILITATION CENTER,Pinellas,FL,Non profit
LAKESIDE OAKS CARE CENTER,Pinellas,FL,For profit
MANORCARE HEALTH SERVICES DUNEDIN,Pinellas,FL,Non profit
MORTON PLANT REHABILITATION CENTER,Pinellas,FL,Non profit
PALM GARDEN OF CLEARWATER,Pinellas,FL,For profit
PALM GARDEN OF LARGO,Pinellas,FL,For profit
PINELLAS POINT NURSING AND REHAB CENTER,Pinellas,FL,For profit
SEMINOLE PAVILION REHABILITATION & NURSING SERVICE,Pinellas,FL,For profit
SOUTH HERITAGE HEALTH & REHABILITATION CENTER,Pinellas,FL,Non profit
ST MARK VILLAGE,Pinellas,FL,Non profit
STRATFORD COURT OF PALM HARBOR,Pinellas,FL,For profit
TIERRA PINES CENTER,Pinellas,FL,For profit
CONSULATE HEALTH CARE OF LAKELAND,Polk,FL,For profit
HIGHLANDS LAKE CENTER,Polk,FL,For profit
LAKELAND HILLS CENTER,Polk,FL,Non profit
PALM GARDEN OF WINTER HAVEN,Polk,FL,For profit
BAY BREEZE HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit
BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER,Sarasota,FL,For profit
CONSULATE HEALTH CARE OF SARASOTA,Sarasota,FL,For profit
CROSSBREEZE CARE CENTER,Sarasota,FL,For profit
GLENRIDGE ON PALMER RANCH INC.,Sarasota,FL,Non profit
