Provider_Name,County,State,Ownership Type,Federal Provider Number
WEDGEWOOD HEALTHCARE CENTER,Polk,FL,For profit,106002
SOLARIS HEALTHCARE PALATKA,Putnam,FL,For profit,105652
SANTA ROSA HEALTH & REHABILITATION CENTER,Santa Rosa,FL,For profit,105328
BAY BREEZE HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit,105443
BENEVA LAKES HEALTHCARE AND REHABILITATION CENTER,Sarasota,FL,For profit,105416
CONSULATE HEALTH CARE OF SARASOTA,Sarasota,FL,For profit,105983
CROSSBREEZE CARE CENTER,Sarasota,FL,For profit,105774
GLENRIDGE ON PALMER RANCH INC.,Sarasota,FL,Non profit,106063
MAGNOLIA HEALTH AND REHABILITATION CENTER,Sarasota,FL,For profit,106032
PINES OF SARASOTA,Sarasota,FL,Non profit,105147
PLYMOUTH HARBOR INCORPORATED,Sarasota,FL,Non profit,105817
SARASOTA HEALTH AND REHABILITATION CENTER,Sarasota,FL,Non profit,105155
SARASOTA POINT REHABILITATION CENTER,Sarasota,FL,For profit,106102
SPRINGS AT LAKE POINTE WOODS,Sarasota,FL,For profit,105567
SUNNYSIDE NURSING HOME,Sarasota,FL,Non profit,106053
TARPON POINT NURSING AND REHABILITATION CENTER,Sarasota,FL,For profit,105702
VILLAGE ON THE ISLE,Sarasota,FL,Non profit,105472
ADVENTHEALTH CARE CENTER APOPKA SOUTH,Seminole,FL,Non profit,105353
CONSULATE HEALTH CARE AT WEST ALTAMONTE,Seminole,FL,For profit,105843
TUSKAWILLA NURSING AND REHAB CENTER,Seminole,FL,For profit,105872
CLYDE E LASSEN STATE VETERANS NURSING HOME,St. Johns,FL,Government,106088
"PONCE THERAPY CARE CENTER, THE",St. Johns,FL,For profit,105468
SAMANTHA WILSON CARE CENTER,St. Johns,FL,Non profit,105816
EMERALD HEALTH CARE CENTER,St. Lucie,FL,For profit,105579
PALM GARDEN OF PORT SAINT LUCIE,St. Lucie,FL,For profit,105600
OSPREY POINT NURSING CENTER,Sumter,FL,For profit,106008
GOOD SAMARITAN CENTER,Suwannee,FL,Non profit,105809
SUWANNEE HEALTH AND REHABILITATION CENTER,Suwannee,FL,For profit,105613
"AVANTE AT ORMOND BEACH, INC",Volusia,FL,For profit,105310
BRIDGEVIEW CENTER,Volusia,FL,For profit,105402
COQUINA CENTER,Volusia,FL,For profit,105589
DEBARY HEALTH AND REHABILITATION CENTER,Volusia,FL,For profit,105514
DELTONA HEALTH CARE,Volusia,FL,For profit,105447
GOOD SAMARITAN SOCIETY-DAYTONA,Volusia,FL,Non profit,105651
MAJESTIC OAKS,Volusia,FL,Non profit,105374
ORANGE CITY NURSING AND REHAB CENTER,Volusia,FL,For profit,105735
PARKSIDE HEALTH AND REHABILITATION CENTER,Volusia,FL,For profit,105145
PORT ORANGE NURSING AND REHAB CENTER,Volusia,FL,For profit,105776
EDEN SPRINGS NURSING AND REHAB CENTER,Wakulla,FL,For profit,105282
CHAUTAUQUA REHABILITATION AND NURSING CENTER,Walton,FL,For profit,105626
APPLING NURSING AND REHABILITATION PAVILION,Appling,GA,Non profit,115262
TWIN OAKS CONVALESCENT CENTER,Bacon,GA,Non profit,115513
BOSTICK NURSING CENTER,Baldwin,GA,For profit,115732
GREEN ACRES HEALTH AND REHABILITATION,Baldwin,GA,Non profit,115578
WINDER HEALTH CARE & REHAB CTR,Barrow,GA,For profit,115536
CARTERSVILLE CENTER FOR NURSING AND HEALING,Bartow,GA,For profit,115571
MAPLE RIDGE HEALTH CARE CENTER,Bartow,GA,For profit,115543
TOWNSEND PARK HEALTH AND REHABILITATION,Bartow,GA,Non profit,115461
LIFE CARE CENTER,Ben Hill,GA,For profit,115654
ARCHWAY TRANSITIONAL CARE CENTER,Bibb,GA,Non profit,115728
EASTVIEW NURSING CENTER,Bibb,GA,For profit,115656
FOUNTAIN BLUE REHAB AND NURSING,Bibb,GA,For profit,115636
MACON REHABILITATION AND HEALTHCARE,Bibb,GA,For profit,115362
PRUITTHEALTH - EASTSIDE,Bibb,GA,For profit,115391
PRUITTHEALTH - MACON,Bibb,GA,For profit,115288
ZEBULON PARK HEALTH AND REHABILITATION,Bibb,GA,Non profit,115295
BAYVIEW NURSING HOME,Brantley,GA,For profit,115593
"PRESBYTERIAN HOME, QUITMAN, IN",Brooks,GA,Non profit,115498
BRYAN COUNTY HLTH & REHAB CTR,Bryan,GA,For profit,115621
WESTWOOD HEALTHCARE AND REHABILITATION,Bulloch,GA,For profit,115601
BRENTWOOD HEALTH AND REHABILITATION,Burke,GA,Non profit,115361
WESTBURY MEDICAL CARE AND REHAB,Butts,GA,For profit,115563
CALHOUN NURSING HOME,Calhoun,GA,Government,115264
SENIOR CARE CENTER - ST MARYS,Camden,GA,Non profit,115684
ORCHARD HEALTH AND REHABILITATION,Candler,GA,Non profit,115522
PLEASANT VIEW NURSING CENTER,Candler,GA,For profit,115411
"CARROLLTON MANOR, INCORPORATED",Carroll,GA,For profit,115638
CARROLLTON NURSING & REHAB CTR,Carroll,GA,For profit,115368
PINE KNOLL NURSING & REHAB CTR,Carroll,GA,For profit,115443
FOLKSTON PARK CARE AND REHABILITATION CENTER,Charlton,GA,For profit,115630
ABERCORN REHABILITATION CENTER,Chatham,GA,For profit,115132
PRUITTHEALTH - SAVANNAH,Chatham,GA,For profit,115339
SIGNATURE HEALTHCARE OF SAVANNAH,Chatham,GA,For profit,115120
BRIAN CENTER HEALTH & REHABILITATION/CANTON,Cherokee,GA,For profit,115508
CANTON NURSING CENTER,Cherokee,GA,For profit,115606
WOODSTOCK NURSING & REHAB CTR,Cherokee,GA,For profit,115421
"OAKS - ATHENS SKILLED NURSING, THE",Clarke,GA,For profit,115419
PRUITTHEALTH - ATHENS HERITAGE,Clarke,GA,For profit,115509
PRUITTHEALTH - GRANDVIEW,Clarke,GA,For profit,115631
UNIVERSITY NURSING & REHAB CTR,Clarke,GA,For profit,115467
FORT GAINES HEALTH AND REHAB,Clay,GA,For profit,115696
ARROWHEAD HEALTH AND REHAB,Clayton,GA,For profit,115539
JONESBORO NURSING AND REHABILITATION CENTER,Clayton,GA,For profit,115545
LAKE CITY NURSING AND REHABILITATION CENTER LLC,Clayton,GA,For profit,115535
RIVERDALE CENTER FOR NURSING AND HEALING,Clayton,GA,For profit,115144
RIVER BROOK HEALTHCARE CENTER,Clinch,GA,For profit,115635
"A.G. RHODES HOME, INC - COBB",Cobb,GA,Non profit,115521
ANDERSON MILL HEALTH AND REHABILITATION CENTER,Cobb,GA,For profit,115145
AUTUMN BREEZE HEALTH AND REHAB,Cobb,GA,For profit,115580
DELMAR GARDENS OF SMYRNA,Cobb,GA,For profit,115330
MANOR CARE REHABILITATION CENTER - MARIETTA,Cobb,GA,Non profit,115283
POWDER SPRINGS TRANSITIONAL CARE AND REHAB,Cobb,GA,For profit,115538
PRESBYTERIAN VILLAGE,Cobb,GA,Non profit,115490
PRUITTHEALTH - AUSTELL,Cobb,GA,For profit,115314
PRUITTHEALTH - MARIETTA,Cobb,GA,For profit,115276
ROSELANE HEALTH AND REHABILITATION CENTER,Cobb,GA,For profit,115660
ROSS MEMORIAL HEALTH CARE CTR,Cobb,GA,For profit,115515
ROSWELL NURSING & REHAB CENTER,Cobb,GA,For profit,115422
SIGNATURE HEALTHCARE AT TOWER ROAD,Cobb,GA,For profit,115115
SIGNATURE HEALTHCARE OF MARIETTA,Cobb,GA,For profit,115206
VISTA PARK HEALTH AND REHABILITATION,Coffee,GA,Non profit,115611
LAKE CROSSING HEALTH CENTER,Columbia,GA,For profit,115424
UNIVERSITY EXTENDED CARE/WESTW,Columbia,GA,Non profit,115336
ANSLEY PARK HEALTH AND REHABILITATION,Coweta,GA,Non profit,115722
AVALON HEALTH AND REHABILITATION,Coweta,GA,For profit,115528
NEWNAN HEALTH AND REHABILITATION,Coweta,GA,Non profit,115138
CORDELE HEALTH AND REHABILITATION,Crisp,GA,Government,115429
CRISP REGIONAL NSG & REHAB CTR,Crisp,GA,Non profit,115568
DADE HEALTH AND REHAB,Dade,GA,For profit,115558
A.G. RHODES HOME WESLEY WOODS,De Kalb,GA,Non profit,115002
BRIARWOOD HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit,115322
BUDD TERRACE AT WESLEY WOODS,De Kalb,GA,Non profit,115682
EAST LAKE ARBOR,De Kalb,GA,For profit,115482
FOUNTAINVIEW CTR FOR ALZHEIMER,De Kalb,GA,For profit,115697
GLENWOOD HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit,115025
GRACE HEALTHCARE OF TUCKER,De Kalb,GA,For profit,115596
LENBROOK,De Kalb,GA,Non profit,115296
MANOR CARE REHABILITATION CENTER - DECATUR,De Kalb,GA,Non profit,115246
MEADOWBROOK HEALTH AND REHAB,De Kalb,GA,For profit,115561
NORTH DECATUR HEALTH AND REHABILITATION CENTER,De Kalb,GA,For profit,115012
PRUITTHEALTH - BROOKHAVEN,De Kalb,GA,For profit,115313
PRUITTHEALTH - DECATUR,De Kalb,GA,For profit,115647
PRUITTHEALTH - VIRGINIA PARK,De Kalb,GA,For profit,115531
ROSEMONT AT STONE MOUNTAIN,De Kalb,GA,For profit,115565
SANDY SPRINGS HEALTH AND REHABILITATION,De Kalb,GA,For profit,115504
BAINBRIDGE HEALTH AND REHAB,Decatur,GA,For profit,115324
MEMORIAL MANOR NURSING HOME,Decatur,GA,Government,115711
EASTMAN HEALTHCARE & REHAB,Dodge,GA,For profit,115622
PIONEER HEALTH OF CENTRAL GEORGIA,Dooly,GA,For profit,115564
PRUITTHEALTH - PALMYRA,Dougherty,GA,For profit,115628
WYNFIELD PARK HEALTH AND REHABILITATION,Dougherty,GA,Non profit,115625
DOUGLASVILLE NURSING AND REHABILITATION CENTER,Douglas,GA,For profit,115273
EARLY MEMORIAL NURSING FACILITY,Early,GA,For profit,115271
EFFINGHAM CARE & REHABILITATION CENTER,Effingham,GA,Non profit,115106
EMANUEL COUNTY NURSING HOME,Emanuel,GA,Government,115704
PRUITTHEALTH - SWAINSBORO,Emanuel,GA,For profit,115533
PRUITTHEALTH - BLUE RIDGE,Fannin,GA,For profit,115468
CONDOR HEALTH LAFAYETTE,Fayette,GA,For profit,115360
SOUTHLAND HEALTH AND REHABILITATION,Fayette,GA,Non profit,115460
CHULIO HILLS HEALTH AND REHAB,Floyd,GA,For profit,115287
EVERGREEN HEALTH AND REHABILITATION CENTER,Floyd,GA,For profit,115720
FIFTH AVENUE HEALTH CARE,Floyd,GA,For profit,115319
PRUITTHEALTH - ROME,Floyd,GA,For profit,115719
ROME HEALTH AND REHABILITATION CENTER,Floyd,GA,For profit,115363
WINTHROP HEALTH AND REHABILITATION,Floyd,GA,Non profit,115395
CHESTNUT RIDGE NSG & REHAB CTR,Forsyth,GA,For profit,115423
CUMMING NURSING CENTER,Forsyth,GA,For profit,115551
"A.G. RHODES HOME, INC, THE",Fulton,GA,Non profit,115275
BONTERRA TRANSITIONAL CARE & REHABILITATION,Fulton,GA,For profit,115555
CHRISTIAN CITY REHABILITATION CENTER,Fulton,GA,For profit,115573
CRESTVIEW HEALTH & REHAB CTR,Fulton,GA,Non profit,115525
DUNWOODY HEALTH AND REHABILITATION CENTER,Fulton,GA,For profit,115270
FAIRBURN HEALTH CARE CENTER,Fulton,GA,For profit,115298
FULTON CENTER FOR REHABILITATION LLC,Fulton,GA,For profit,115569
"HEALTHCARE AT COLLEGE PARK, LLC",Fulton,GA,For profit,115579
LEGACY TRANSITIONAL CARE & REHABILITATION,Fulton,GA,For profit,115585
NURSE CARE OF BUCKHEAD,Fulton,GA,For profit,115129
PRUITTHEALTH - WEST ATLANTA,Fulton,GA,For profit,115512
RELIABLE HEALTH & REHAB AT LAKEWOOD,Fulton,GA,For profit,115717
SADIE G. MAYS HEALTH & REHABILITATION CENTER,Fulton,GA,Non profit,115542
SIGNATURE HEALTHCARE OF BUCKHEAD,Fulton,GA,For profit,115110
WESTMINSTER COMMONS,Fulton,GA,For profit,115674
"WILLIAM BREMAN JEWISH HOME, THE",Fulton,GA,Non profit,115022
GIBSON HEALTH AND REHABILITATION,Glascock,GA,Non profit,115613
MAGNOLIA MANOR OF ST SIMONS REHAB & NURSING CENTER,Glynn,GA,Non profit,115582
SENIOR CARE CENTER - BRUNSWICK,Glynn,GA,Non profit,115721
CALHOUN HEALTH CARE CENTER,Gordon,GA,For profit,115340
PINEWOOD NURSING CENTER,Grady,GA,For profit,115607
GREENE POINT HEALTH AND REHABILITATION,Greene,GA,Non profit,115488
CAMBRIDGE POST ACUTE CARE CENTER,Gwinnett,GA,For profit,115771
DELMAR GARDENS OF GWINNETT,Gwinnett,GA,For profit,115350
LIFE CARE CENTER OF GWINNETT,Gwinnett,GA,For profit,115347
LIFE CARE CTR OF LAWRENCEVILLE,Gwinnett,GA,For profit,115659
PARKSIDE POST ACUTE AND REHABILITATION,Gwinnett,GA,For profit,115643
PEBBLEBROOK HEALTH CENTER AT PARK SPRINGS,Gwinnett,GA,For profit,115694
PRUITTHEALTH - LILBURN,Gwinnett,GA,For profit,115516
SALUDE - THE ART OF RECOVERY,Gwinnett,GA,For profit,115723
HABERSHAM HOME,Habersham,GA,Non profit,115099
"BELL MINOR HOME, THE",Hall,GA,For profit,115020
NEW HORIZONS LIMESTONE,Hall,GA,Non profit,115487
"OAKS - LIMESTONE, THE",Hall,GA,For profit,115410
WILLOWBROOKE COURT AT LANIER VILLAGE ESTATES,Hall,GA,Non profit,115687
WILLOWWOOD HEALTHCARE AND REHABILITATION,Hall,GA,For profit,115327
PROVIDENCE OF SPARTA HEALTH AND REHAB,Hancock,GA,For profit,115397
SPARTA HEALTH AND REHABILITATION,Hancock,GA,Non profit,115382
"BLUE RIDGE HEALTHCARE OF BUCHANAN, LLC",Haralson,GA,For profit,115587
"OAK VIEW HOME, INC",Harris,GA,Non profit,115576
HARTWELL HEALTH AND REHABILITATION,Hart,GA,Non profit,115435
PRUITTHEALTH - FRANKLIN,Heard,GA,For profit,115616
LAUREL PARK AT HENRY MED CTR,Henry,GA,For profit,115673
"WESTBURY MCDONOUGH, LLC",Henry,GA,For profit,115463
"LODGE, THE",Houston,GA,For profit,115552
SOUTHERN PINES,Houston,GA,For profit,115657
SUMMERHILL ELDERLIVING HOME & CARE,Houston,GA,For profit,115430
WARNER ROBINS REHABILITATION CENTER,Houston,GA,For profit,115612
PRUITTHEALTH - OCILLA,Irwin,GA,For profit,115608
HILL HAVEN NURSING HOME,Jackson,GA,For profit,115710
HAZELHURST COURT CARE AND REHABILITATION CENTER,Jeff Davis,GA,For profit,115626
PRUITTHEALTH - BETHANY,Jenkins,GA,For profit,115700
SGMC LAKELAND VILLA,Lanier,GA,Government,115707
DUBLINAIR HEALTH & REHAB,Laurens,GA,For profit,115356
"PREMIER ESTATES OF DUBLIN, LLC",Laurens,GA,For profit,115495
SOUTHLAND HEALTHCARE AND REHAB CENTER,Laurens,GA,For profit,115376
LEE COUNTY HEALTH AND REHABILITATION,Lee,GA,Non profit,115614
PRUITTHEALTH - CRESTWOOD,Lowndes,GA,For profit,115385
PRUITTHEALTH - VALDOSTA,Lowndes,GA,For profit,115377
CHELSEY PARK HEALTH AND REHABILITATION,Lumpkin,GA,Non profit,115724
MIONA GERIATRIC & DEMENTIA CENTER,Macon,GA,For profit,115338
MONTEZUMA HEALTH CARE CENTER,Macon,GA,Non profit,115364
"OAKS NURSING HOME, INC, THE",Macon,GA,For profit,115627
COMER HEALTH AND REHABILITATION,Madison,GA,Non profit,115289
MAGNOLIA MANOR OF MARION COUNTY,Marion,GA,Non profit,115599
THOMSON HEALTH AND REHABILITATION,Mc Duffie,GA,For profit,115365
PRUITTHEALTH - GREENVILLE,Meriwether,GA,For profit,115658
MILLER NURSING HOME,Miller,GA,Government,115039
MITCHELL COUNTY NURSING HOMES,Mitchell,GA,Non profit,115266
BOLINGREEN HEALTH AND REHABILITATION,Monroe,GA,Non profit,115346
PRUITTHEALTH - FORSYTH,Monroe,GA,For profit,115418
MADISON HEALTH AND REHAB,Morgan,GA,For profit,115457
AZALEA TRACE NURSING CENTER,Muscogee,GA,Non profit,115478
MAGNOLIA MANOR OF COLUMBUS NURSING CENTER - EAST,Muscogee,GA,Non profit,115124
MUSCOGEE MANOR & REHABILITATION CTR,Muscogee,GA,Government,115351
ORCHARD VIEW REHABILITATION & SKILLED NURSING CTR,Muscogee,GA,Government,115146
RIVER TOWNE CENTER,Muscogee,GA,For profit,115566
SPRING HARBOR AT GREEN ISLAND,Muscogee,GA,Non profit,115716
HIGH SHOALS HEALTH AND REHABILITATION,Oconee,GA,Non profit,115279
QUIET OAKS HEALTH CARE CENTER,Oglethorpe,GA,For profit,115396
FORT VALLEY HEALTH AND REHAB,Peach,GA,For profit,115651
PRUITTHEALTH - JASPER,Pickens,GA,For profit,115677
PINEWOOD MANOR NURSING HOME & REHABILITATION CNTR,Pulaski,GA,Non profit,115586
EATONTON HEALTH AND REHABILITATION,Putnam,GA,Non profit,115595
JOE-ANNE BURGIN NURSING HOME,Randolph,GA,Government,115272
KENTWOOD NURSING FACILITY,Richmond,GA,Non profit,115147
"PLACE AT MARTINEZ, THE",Richmond,GA,For profit,115308
PRUITTHEALTH - AUGUSTA,Richmond,GA,For profit,115334
PRUITTHEALTH - AUGUSTA HILLS,Richmond,GA,For profit,115672
WINDERMERE HEALTH AND REHABILITATION CENTER,Richmond,GA,For profit,115291
SYL-VIEW HEALTH CARE CENTER,Screven,GA,For profit,115544
"BRIGHTMOOR HEALTH CARE, INC",Spalding,GA,For profit,115556
PRUITTHEALTH - TOCCOA,Stephens,GA,For profit,115345
FOUR COUNTY HEALTH AND REHABILITATION,Stewart,GA,Non profit,115481
LILLIAN G CARTER HEALTH AND REHABILITATION,Sumter,GA,Non profit,115550
MAGNOLIA MANOR METHODIST NSG C,Sumter,GA,Non profit,115004
MCRAE MANOR NURSING HOME,Telfair,GA,For profit,115494
DAWSON HEALTH AND REHABILITATION,Terrell,GA,Non profit,115483
CAMELLIA GARDENS OF LIFE CARE,Thomas,GA,For profit,115570
GLENN-MOR NURSING HOME,Thomas,GA,Non profit,115480
ROSE CITY HEALTH AND REHABILITATION CENTER,Thomas,GA,For profit,115501
"THOMASVILLE HEALTH & REHAB, LLC",Thomas,GA,For profit,115427
REHABILITATION CENTER OF SOUTH GEORGIA,Tift,GA,For profit,115676
TIFTON HEALTH AND REHABILITATION CENTER,Tift,GA,For profit,115412
"OAKS - BETHANY SKILLED NURSING, THE",Toombs,GA,For profit,115705
CHATUGE REGIONAL NURSING HOME,Towns,GA,Non profit,115701
LAGRANGE HEALTH AND REHAB,Troup,GA,For profit,115354
PRUITTHEALTH - ASHBURN,Turner,GA,For profit,115491
UNION COUNTY NURSING HOME,Union,GA,Non profit,115695
HARBORVIEW HEALTH SYSTEMS THOMASTON,Upson,GA,For profit,115329
PROVIDENCE HEALTHCARE,Upson,GA,For profit,115484
PRUITTHEALTH - SHEPHERD HILLS,Walker,GA,For profit,115452
PARK PLACE NURSING FACILITY,Walton,GA,For profit,115005
"BAPTIST VILLAGE, INC.",Ware,GA,Non profit,115615
HARBORVIEW SATILLA,Ware,GA,For profit,115265
WARRENTON HEALTH AND REHAB,Warren,GA,For profit,115321
WASHINGTON CO EXTENDED CARE FA,Washington,GA,Government,115702
FRIENDSHIP HEALTH AND REHAB,White,GA,For profit,115559
REGENCY PARK HEALTH AND REHABILITATION,Whitfield,GA,Non profit,115663
CROSSVIEW CARE CENTER,Wilcox,GA,For profit,115541
GLEN EAGLE HEALTHCARE AND REHAB,Wilcox,GA,For profit,115733
PRUITTHEALTH - TOOMSBORO,Wilkinson,GA,For profit,115455
PRUITTHEALTH - SYLVESTER,Worth,GA,For profit,115629
FRIENDSHIP VILLAGE RETIREMENT,Black Hawk,IA,Non profit,165081
HARMONY HOUSE HEALTH CARE CENT,Black Hawk,IA,For profit,165152
NEWALDAYA LIFESCAPES,Black Hawk,IA,Non profit,165465
ARBOR SPRINGS OF WEST DES MOINES L L C,Dallas,IA,For profit,165548
GRANGER NURSING & REHABILITATION CENTER,Dallas,IA,For profit,165208
"PEARL VALLEY REHABILITATION AND NURSING AT PERRY,",Dallas,IA,For profit,165426
ROWLEY MEMORIAL MASONIC HOME,Dallas,IA,Non profit,165149
DUBUQUE SPECIALTY CARE,Dubuque,IA,Non profit,165228
"ACCURA HEALTHCARE OF NEWTON WEST, LLC",Jasper,IA,For profit,165420
WESLEY PARK CENTRE,Jasper,IA,Non profit,165543
COTTAGE GROVE PLACE,Linn,IA,Non profit,165322
HERITAGE SPECIALTY CARE,Linn,IA,Non profit,165310
LINN MANOR CARE CENTER,Linn,IA,Non profit,165511
LIVING CENTER WEST,Linn,IA,Non profit,165278
MANORCARE HEALTH SERVICES,Linn,IA,Non profit,165017
ACCURA HEALTHCARE OF MARSHALLTOWN,Marshall,IA,For profit,165451
IOWA VETERANS HOME,Marshall,IA,Government,16A002
LUTHERAN LIVING SENIOR CAMPUS,Muscatine,IA,Non profit,165432
PEARL VALLEY REHABILITATION AND HEALTHCARE CENTER,Muscatine,IA,For profit,165585
WILTON RETIREMENT COMMUNITY,Muscatine,IA,Non profit,165611
BISHOP DRUMM RETIREMENT CENTER,Polk,IA,Non profit,165448
FLEUR HEIGHTS CENTER FOR WELLNESS AND REHAB,Polk,IA,For profit,165273
ON WITH LIFE,Polk,IA,Non profit,165163
POLK CITY NURSING & REHABILITATION CENTER,Polk,IA,For profit,165170
"QHC MITCHELLVILLE, LLC",Polk,IA,For profit,165264
TRINITY CENTER AT LUTHER PARK,Polk,IA,Non profit,165612
UNIVERSITY PARK NURSING & REHABILITATION CENTER,Polk,IA,For profit,165272
ST FRANCIS MANOR,Poweshiek,IA,Non profit,165480
KAHL HOME FOR THE AGED & INFIRMED,Scott,IA,Non profit,165146
PREMIER ESTATES OF TOLEDO,Tama,IA,For profit,165450
WESTBROOK ACRES,Tama,IA,For profit,165446
WASHINGTON COUNTY HOSPITAL,Washington,IA,Government,16E681
AVAMERE TRANSITIONAL CARE & REHAB - BOISE,Ada,ID,For profit,135077
LIFE CARE CENTER OF LEWISTON,Nez Perce,ID,For profit,135128
NORTHWOODS CARE CENTRE,Boone,IL,For profit,145312
PARK PLACE OF BELVIDERE,Boone,IL,For profit,146071
UNIVERSITY REHAB,Champaign,IL,For profit,145364
CARLYLE HEALTHCARE CENTER,Clinton,IL,For profit,145729
CLINTON MANOR LIVING CENTER,Clinton,IL,For profit,146025
CHARLESTON REHAB & HEALTH CC,Coles,IL,For profit,145636
ADDOLORATA VILLA,Cook,IL,Non profit,145724
"ADMIRAL AT THE LAKE, THE",Cook,IL,Non profit,146165
ALDEN DES PLAINES REHAB & HC,Cook,IL,For profit,145998
ALDEN ESTATES OF BARRINGTON,Cook,IL,For profit,145557
ALDEN ESTATES OF EVANSTON,Cook,IL,For profit,145907
ALDEN ESTATES OF NORTHMOOR,Cook,IL,For profit,145888
ALDEN ESTATES OF ORLAND PARK,Cook,IL,For profit,145963
ALDEN ESTATES OF SKOKIE,Cook,IL,For profit,145869
ALDEN LAKELAND REHAB & HCC,Cook,IL,For profit,145450
ALDEN LINCOLN REHAB & H C CTR,Cook,IL,For profit,145126
ALDEN NORTH SHORE REHAB & HCC,Cook,IL,For profit,145984
ALDEN POPLAR CREEK REHAB & HCC,Cook,IL,For profit,145403
ALL AMERICAN NURSING HOME,Cook,IL,For profit,14A057
AMBASSADOR NURSING & REHAB CENTER,Cook,IL,For profit,145343
APERION CARE BURBANK,Cook,IL,For profit,145913
APERION CARE CHICAGO HEIGHTS,Cook,IL,For profit,145180
APERION CARE DOLTON,Cook,IL,For profit,145877
APERION CARE EVANSTON,Cook,IL,For profit,146058
APERION CARE FOREST PARK,Cook,IL,For profit,145969
APERION CARE INTERNATIONAL,Cook,IL,For profit,146001
APERION CARE OAK LAWN,Cook,IL,For profit,145197
APERION CARE PLUM GROVE,Cook,IL,For profit,145658
APERION CARE WEST RIDGE,Cook,IL,For profit,145832
ARBOUR HEALTH CARE CENTER,Cook,IL,For profit,146169
ASTORIA PLACE LIVING & REHAB,Cook,IL,Non profit,145634
ATRIUM HEALTH CARE CENTER,Cook,IL,For profit,145479
"AUSTIN OASIS, THE",Cook,IL,For profit,145834
AVANTARA EVERGREEN PARK,Cook,IL,For profit,145734
AVANTARA PARK RIDGE,Cook,IL,For profit,145667
AVANTI WELLNESS & REHAB,Cook,IL,For profit,145630
BEACON HEALTH CENTER,Cook,IL,For profit,145776
BELHAVEN NURSING & REHAB CENTER,Cook,IL,For profit,145549
BELLA TERRA MORTON GROVE,Cook,IL,For profit,145198
BERKELEY NURSING & REHAB CENTER,Cook,IL,For profit,146013
BETHESDA REHAB & SENIOR CARE,Cook,IL,Non profit,145844
BIRCHWOOD PLAZA,Cook,IL,For profit,145532
BRIA OF CHICAGO HEIGHTS,Cook,IL,For profit,145898
BRIA OF FOREST EDGE,Cook,IL,For profit,145864
BRIA OF PALOS HILLS,Cook,IL,For profit,145650
BRIA OF RIVER OAKS,Cook,IL,For profit,145735
BRIAR PLACE NURSING,Cook,IL,For profit,145784
BRIDGEVIEW HEALTH CARE CENTER,Cook,IL,For profit,145208
BUCKINGHAM PAVILION,Cook,IL,For profit,145285
BURBANK REHABILITATION CENTER,Cook,IL,For profit,145211
CALIFORNIA GARDENS N & REHAB C,Cook,IL,For profit,145625
"CARLTON AT THE LAKE, THE",Cook,IL,For profit,145679
CENTER HOME HISPANIC ELDERLY,Cook,IL,For profit,146062
CENTRAL BAPTIST VILLAGE,Cook,IL,Non profit,145853
CENTRAL NURSING HOME,Cook,IL,For profit,145648
CHALET LIVING & REHAB,Cook,IL,For profit,145670
CHICAGO RIDGE NURSING CENTER,Cook,IL,For profit,145639
CITADEL CARE CENTER-WILMETTE,Cook,IL,For profit,145932
"CITADEL OF NORTHBROOK, THE",Cook,IL,For profit,145982
"CITADEL OF SKOKIE, THE",Cook,IL,For profit,145468
CITY VIEW MULTICARE CENTER,Cook,IL,For profit,145850
CLARK MANOR,Cook,IL,For profit,145507
COMMUNITY CARE CENTER,Cook,IL,For profit,146164
CONTINENTAL NURSING & REHAB CENTER,Cook,IL,For profit,145730
ELEVATE CARE CHICAGO NORTH,Cook,IL,For profit,145484
ELEVATE CARE IRVING PARK,Cook,IL,For profit,145415
ELEVATE CARE NILES,Cook,IL,For profit,145662
ELEVATE CARE NORTHBROOK,Cook,IL,For profit,145171
ELEVATE ST ANDREW LIVING COMM,Cook,IL,Non profit,146176
"ESTATES OF HYDE PARK, THE",Cook,IL,For profit,145828
FAIRMONT CARE,Cook,IL,For profit,145867
FOSTER HEALTH & REHAB CENTER,Cook,IL,For profit,146167
FRANCISCAN VILLAGE,Cook,IL,Non profit,146029
FRIENDSHIP VILLAGE-SCHAUMBURG,Cook,IL,Non profit,145341
GENERATIONS AT APPLEWOOD,Cook,IL,For profit,145781
GENERATIONS AT ELMWOOD PARK,Cook,IL,For profit,145419
GENERATIONS AT REGENCY,Cook,IL,For profit,145237
GENERATIONS OAKTON PAVILLION,Cook,IL,For profit,145626
GLENVIEW TERRACE NURSING CTR,Cook,IL,For profit,145268
GLENWOOD HEALTHCARE & REHAB.,Cook,IL,For profit,145758
GROSSE POINTE MANOR,Cook,IL,For profit,145999
"GROVE OF BERWYN, THE",Cook,IL,For profit,145070
"GROVE OF EVANSTON L & R, THE",Cook,IL,For profit,145011
"GROVE OF SKOKIE, THE",Cook,IL,For profit,145860
HARMONY NURSING & REHAB CENTER,Cook,IL,For profit,145775
HEATHER HEALTH CARE CENTER,Cook,IL,For profit,145173
HOLY FAMILY VILLA,Cook,IL,Non profit,146053
INVERNESS HEALTH & REHAB,Cook,IL,For profit,145994
KENSINGTON PLACE NRSG & REHAB,Cook,IL,For profit,145829
